img_stamp,tf_stamp,skew_ms,corners,charuco_rms_px,coverage,base_board_tx,base_board_ty,base_board_tz,base_board_rvec_x,base_board_rvec_y,base_board_rvec_z,t_std_x,t_std_y,t_std_z,rot_med_deg,reproj_rms_px
1754868180.161329152,1754868180.161329152,0.000,22,0.260,0.104,-0.277069,0.077477,0.713819,-1.562208,-0.835250,1.846637,0.000373,0.000066,0.000178,0.182470,0.259891
1754868180.361478656,1754868180.361478656,0.000,22,0.231,0.104,-0.276983,0.077620,0.713829,-1.561765,-0.834939,1.847485,0.000360,0.000074,0.000183,0.166234,0.231041
1754868180.561638656,1754868180.561638656,0.000,22,0.261,0.104,-0.276792,0.077541,0.713925,-1.560721,-0.836224,1.848077,0.000358,0.000073,0.000192,0.102055,0.261455
1754868180.695065344,1754868180.695065344,0.000,22,0.289,0.104,-0.276578,0.077612,0.713955,-1.559804,-0.836820,1.849158,0.000371,0.000077,0.000187,0.183020,0.289097
1754868180.761778944,1754868180.761778944,0.000,22,0.256,0.104,-0.277249,0.077692,0.714224,-1.563009,-0.836918,1.846715,0.000335,0.000088,0.000210,0.181789,0.255903
1754868180.895205632,1754868180.895205632,0.000,22,0.246,0.104,-0.277024,0.077741,0.714306,-1.561908,-0.834509,1.847209,0.000308,0.000101,0.000235,0.068626,0.245952
1754868181.028632320,1754868181.028632320,0.000,22,0.302,0.104,-0.276565,0.077640,0.714395,-1.560529,-0.836182,1.848214,0.000322,0.000105,0.000263,0.103949,0.301548
1754868181.162058496,1754868181.162058496,0.000,22,0.266,0.104,-0.276920,0.077779,0.714474,-1.562891,-0.835529,1.847108,0.000317,0.000112,0.000283,0.125566,0.265561
1754868181.295485184,1754868181.295485184,0.000,22,0.228,0.104,-0.277180,0.077702,0.714325,-1.562405,-0.834843,1.847115,0.000297,0.000116,0.000293,0.102703,0.228174
1754868181.428911104,1754868181.428911104,0.000,22,0.272,0.104,-0.276825,0.077787,0.714225,-1.560875,-0.836275,1.848518,0.000292,0.000126,0.000296,0.152676,0.271526
1754868181.562330880,1754868181.562330880,0.000,22,0.274,0.104,-0.276788,0.077756,0.714461,-1.561957,-0.835264,1.846892,0.000261,0.000129,0.000314,0.097660,0.274132
1754868181.695760640,1754868181.695760640,0.000,22,0.250,0.104,-0.276603,0.077723,0.714756,-1.560668,-0.834215,1.846982,0.000262,0.000134,0.000342,0.108965,0.250289
1754868181.829191168,1754868181.829191168,0.000,22,0.260,0.104,-0.276563,0.077733,0.714857,-1.560556,-0.835979,1.848259,0.000254,0.000137,0.000374,0.075386,0.259962
1754868182.229481984,1754868182.229481984,0.000,22,0.257,0.104,-0.275923,0.077901,0.715044,-1.558031,-0.835935,1.850359,0.000309,0.000148,0.000413,0.115045,0.257277
1754868182.362912256,1754868182.362912256,0.000,22,0.283,0.104,-0.275593,0.077928,0.714958,-1.556394,-0.835682,1.851246,0.000381,0.000161,0.000437,0.117675,0.283458
1754868182.496342784,1754868182.496342784,0.000,22,0.238,0.104,-0.276526,0.078069,0.715026,-1.561389,-0.832023,1.846274,0.000367,0.000183,0.000463,0.133913,0.238147
1754868182.763219200,1754868182.763219200,0.000,22,0.326,0.105,-0.274568,0.078153,0.715390,-1.553470,-0.834839,1.853158,0.000546,0.000204,0.000507,0.072514,0.326302
1754868182.896657920,1754868182.896657920,0.000,22,0.276,0.104,-0.274895,0.078307,0.715800,-1.555973,-0.835281,1.852281,0.000633,0.000234,0.000578,0.139497,0.275560
1754868183.030097152,1754868183.030097152,0.000,22,0.327,0.105,-0.274149,0.078214,0.715843,-1.552651,-0.838027,1.855431,0.000775,0.000247,0.000641,0.268782,0.326965
1754868183.163536896,1754868183.163536896,0.000,22,0.308,0.105,-0.275156,0.078490,0.715765,-1.557923,-0.835405,1.849100,0.000815,0.000280,0.000681,0.117224,0.307671
1754868183.230256896,1754868183.230256896,0.000,22,0.211,0.104,-0.275001,0.078620,0.715689,-1.556379,-0.827707,1.849571,0.000860,0.000318,0.000710,0.067020,0.210822
1754868183.363696896,1754868183.363696896,0.000,22,0.152,0.105,-0.274952,0.078761,0.717331,-1.557637,-0.824650,1.848291,0.000898,0.000363,0.000868,0.107104,0.151973
1754868183.563845632,1754868183.563845632,0.000,20,0.214,0.090,-0.269916,0.080467,0.724947,-1.549242,-0.813231,1.851154,0.001466,0.000595,0.002052,0.196030,0.214281
1754868185.832124160,1754868185.832124160,0.000,9,0.515,0.131,0.202287,0.071807,0.676650,-1.385373,-1.099869,1.574489,0.085896,0.001244,0.007172,0.168956,0.515178
1754868185.965553920,1754868185.965553920,0.000,9,0.309,0.129,0.196447,0.068877,0.675131,-1.407342,-1.096722,1.546314,0.118621,0.002017,0.009966,0.112601,0.308880
1754868186.032268800,1754868186.032268800,0.000,9,0.330,0.128,0.195579,0.068309,0.675309,-1.403417,-1.093016,1.550921,0.142270,0.002597,0.011978,0.143754,0.330100
1754868186.165698560,1754868186.165698560,0.000,9,0.242,0.128,0.192648,0.067103,0.675122,-1.414998,-1.098863,1.535731,0.160728,0.003157,0.013593,0.165551,0.242355
1754868186.432557824,1754868186.432557824,0.000,9,0.360,0.128,0.192917,0.069483,0.674447,-1.410401,-1.088772,1.543747,0.175905,0.003413,0.014976,0.180527,0.360259
1754868186.566000128,1754868186.566000128,0.000,9,0.226,0.127,0.191732,0.066568,0.674577,-1.414186,-1.098539,1.537533,0.188501,0.003844,0.016126,0.232797,0.225965
1754868186.699421696,1754868186.699421696,0.000,9,0.254,0.128,0.191404,0.068579,0.674842,-1.419570,-1.098677,1.531949,0.199063,0.004067,0.017084,0.228180,0.253653
1754868186.832842752,1754868186.832842752,0.000,9,0.206,0.128,0.191254,0.068839,0.674427,-1.418779,-1.094163,1.532217,0.207914,0.004243,0.017919,0.244960,0.206319
1754868187.166394624,1754868187.166394624,0.000,9,0.214,0.128,0.191457,0.069691,0.674388,-1.417301,-1.093663,1.535069,0.215287,0.004352,0.018627,0.253575,0.213754
1754868187.299814656,1754868187.299814656,0.000,9,0.202,0.128,0.192026,0.069365,0.674575,-1.415099,-1.095127,1.538365,0.221348,0.004458,0.019208,0.303716,0.201927
1754868187.433234944,1754868187.433234944,0.000,9,0.213,0.128,0.191579,0.069463,0.674698,-1.418305,-1.093406,1.533717,0.226156,0.004539,0.019679,0.521532,0.213244
